id,type,long_msg,details,file
com.acsoftware.accentlite,java.lang.IllegalArgumentException,java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@68e0280,"// CRASH: com.acsoftware.accentlite (pid 24239)
// Short Msg: java.lang.IllegalArgumentException
// Long Msg: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@68e0280
// java.lang.RuntimeException: Unable to stop activity {com.acsoftware.accentlite/com.acsoftware.accentnetwork.MainActivity}: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@68e0280
// 	at android.app.ActivityThread.callActivityOnStop(ActivityThread.java:5880)
// 	at android.app.ActivityThread.performStopActivityInner(ActivityThread.java:5852)
// 	at android.app.ActivityThread.handleStopActivity(ActivityThread.java:5916)
// 	at android.app.servertransaction.TransactionExecutor.performLifecycleSequence(TransactionExecutor.java:229)
// 	at android.app.servertransaction.TransactionExecutor.cycleToPath(TransactionExecutor.java:194)
// 	at android.app.servertransaction.TransactionExecutor.executeLifecycleItem(TransactionExecutor.java:166)
// 	at android.app.servertransaction.TransactionExecutor.executeTransactionItems(TransactionExecutor.java:101)
// 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:80)
// 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2773)
// 	at android.os.Handler.dispatchMessage(Handler.java:109)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)
// Caused by: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@68e0280
// 	at android.app.LoadedApk.forgetServiceDispatcher(LoadedApk.java:2022)
// 	at android.app.ContextImpl.unbindService(ContextImpl.java:2272)
// 	at android.content.ContextWrapper.unbindService(ContextWrapper.java:953)
// 	at android.content.ContextWrapper.unbindService(ContextWrapper.java:953)
// 	at com.acsoftware.accentnetwork.MainActivity.onStop(SourceFile:12)
// 	at android.app.Instrumentation.callActivityOnStop(Instrumentation.java:1747)
// 	at android.app.Activity.performStop(Activity.java:9346)
// 	at android.app.ActivityThread.callActivityOnStop(ActivityThread.java:5872)
// 	... 15 more

",com.acsoftware.accentlite/sources/com/acsoftware/accentnetwork/MainActivity.java
com.acsoftware.accentlite,java.lang.IllegalArgumentException,java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@57b023e,"// CRASH: com.acsoftware.accentlite (pid 22871)
// Short Msg: java.lang.IllegalArgumentException
// Long Msg: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@57b023e
// java.lang.RuntimeException: Unable to stop activity {com.acsoftware.accentlite/com.acsoftware.accentnetwork.MainActivity}: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@57b023e
// 	at android.app.ActivityThread.callActivityOnStop(ActivityThread.java:5880)
// 	at android.app.ActivityThread.performStopActivityInner(ActivityThread.java:5852)
// 	at android.app.ActivityThread.handleStopActivity(ActivityThread.java:5916)
// 	at android.app.servertransaction.TransactionExecutor.performLifecycleSequence(TransactionExecutor.java:229)
// 	at android.app.servertransaction.TransactionExecutor.cycleToPath(TransactionExecutor.java:194)
// 	at android.app.servertransaction.TransactionExecutor.executeLifecycleItem(TransactionExecutor.java:166)
// 	at android.app.servertransaction.TransactionExecutor.executeTransactionItems(TransactionExecutor.java:101)
// 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:80)
// 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2773)
// 	at android.os.Handler.dispatchMessage(Handler.java:109)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)
// Caused by: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@57b023e
// 	at android.app.LoadedApk.forgetServiceDispatcher(LoadedApk.java:2022)
// 	at android.app.ContextImpl.unbindService(ContextImpl.java:2272)
// 	at android.content.ContextWrapper.unbindService(ContextWrapper.java:953)
// 	at android.content.ContextWrapper.unbindService(ContextWrapper.java:953)
// 	at com.acsoftware.accentnetwork.MainActivity.onStop(SourceFile:12)
// 	at android.app.Instrumentation.callActivityOnStop(Instrumentation.java:1747)
// 	at android.app.Activity.performStop(Activity.java:9346)
// 	at android.app.ActivityThread.callActivityOnStop(ActivityThread.java:5872)
// 	... 15 more

",com.acsoftware.accentlite/sources/com/acsoftware/accentnetwork/MainActivity.java
com.acsoftware.accentlite,java.lang.IllegalArgumentException,java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@345578f,"// CRASH: com.acsoftware.accentlite (pid 20064)
// Short Msg: java.lang.IllegalArgumentException
// Long Msg: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@345578f
// java.lang.RuntimeException: Unable to stop activity {com.acsoftware.accentlite/com.acsoftware.accentnetwork.MainActivity}: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@345578f
// 	at android.app.ActivityThread.callActivityOnStop(ActivityThread.java:5880)
// 	at android.app.ActivityThread.performStopActivityInner(ActivityThread.java:5852)
// 	at android.app.ActivityThread.handleStopActivity(ActivityThread.java:5916)
// 	at android.app.servertransaction.TransactionExecutor.performLifecycleSequence(TransactionExecutor.java:229)
// 	at android.app.servertransaction.TransactionExecutor.cycleToPath(TransactionExecutor.java:194)
// 	at android.app.servertransaction.TransactionExecutor.executeLifecycleItem(TransactionExecutor.java:166)
// 	at android.app.servertransaction.TransactionExecutor.executeTransactionItems(TransactionExecutor.java:101)
// 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:80)
// 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2773)
// 	at android.os.Handler.dispatchMessage(Handler.java:109)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)
// Caused by: java.lang.IllegalArgumentException: Service not registered: com.acsoftware.accentnetwork.MainActivity$c@345578f
// 	at android.app.LoadedApk.forgetServiceDispatcher(LoadedApk.java:2022)
// 	at android.app.ContextImpl.unbindService(ContextImpl.java:2272)
// 	at android.content.ContextWrapper.unbindService(ContextWrapper.java:953)
// 	at android.content.ContextWrapper.unbindService(ContextWrapper.java:953)
// 	at com.acsoftware.accentnetwork.MainActivity.onStop(SourceFile:12)
// 	at android.app.Instrumentation.callActivityOnStop(Instrumentation.java:1747)
// 	at android.app.Activity.performStop(Activity.java:9346)
// 	at android.app.ActivityThread.callActivityOnStop(ActivityThread.java:5872)
// 	... 15 more

",com.acsoftware.accentlite/sources/com/acsoftware/accentnetwork/MainActivity.java
com.amparosoft.modernrockfusion.lite,java.lang.IllegalArgumentException,"java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{112a7b V.E...... R.....ID 0,0-840,727}[Download-HD] not attached to window manager","// CRASH: com.amparosoft.modernrockfusion.lite (pid 17254)
// Short Msg: java.lang.IllegalArgumentException
// Long Msg: java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{112a7b V.E...... R.....ID 0,0-840,727}[Download-HD] not attached to window manager
// java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{112a7b V.E...... R.....ID 0,0-840,727}[Download-HD] not attached to window manager
// 	at android.view.WindowManagerGlobal.findViewLocked(WindowManagerGlobal.java:587)
// 	at android.view.WindowManagerGlobal.removeView(WindowManagerGlobal.java:494)
// 	at android.view.WindowManagerImpl.removeViewImmediate(WindowManagerImpl.java:216)
// 	at android.app.Dialog.dismissDialog(Dialog.java:404)
// 	at android.app.Dialog.dismiss(Dialog.java:386)
// 	at androidx.appcompat.app.a0.dismiss(Unknown Source:0)
// 	at android.app.Dialog.cancel(Dialog.java:1357)
// 	at com.amparosoft.modernrockfusion.c.f(SourceFile:1)
// 	at com.amparosoft.modernrockfusion.c.onCancelled(Unknown Source:2)
// 	at android.os.AsyncTask.finish(AsyncTask.java:769)
// 	at android.os.AsyncTask.-$$Nest$mfinish(Unknown Source:0)
// 	at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:788)
// 	at android.os.Handler.dispatchMessage(Handler.java:109)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)

",com.amparosoft.modernrockfusion.lite/sources/n0/c.java
com.amparosoft.modernrockfusion.lite,java.lang.IllegalArgumentException,"java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{acf21a2 V.E...... R.....ID 0,0-1080,727}[Download-SD] not attached to window manager","// CRASH: com.amparosoft.modernrockfusion.lite (pid 7919)
// Short Msg: java.lang.IllegalArgumentException
// Long Msg: java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{acf21a2 V.E...... R.....ID 0,0-1080,727}[Download-SD] not attached to window manager
// java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{acf21a2 V.E...... R.....ID 0,0-1080,727}[Download-SD] not attached to window manager
// 	at android.view.WindowManagerGlobal.findViewLocked(WindowManagerGlobal.java:587)
// 	at android.view.WindowManagerGlobal.removeView(WindowManagerGlobal.java:494)
// 	at android.view.WindowManagerImpl.removeViewImmediate(WindowManagerImpl.java:216)
// 	at android.app.Dialog.dismissDialog(Dialog.java:404)
// 	at android.app.Dialog.dismiss(Dialog.java:386)
// 	at androidx.appcompat.app.a0.dismiss(Unknown Source:0)
// 	at android.app.Dialog.cancel(Dialog.java:1357)
// 	at com.amparosoft.modernrockfusion.c.f(SourceFile:1)
// 	at com.amparosoft.modernrockfusion.c.onCancelled(Unknown Source:2)
// 	at android.os.AsyncTask.finish(AsyncTask.java:769)
// 	at android.os.AsyncTask.-$$Nest$mfinish(Unknown Source:0)
// 	at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:788)
// 	at android.os.Handler.dispatchMessage(Handler.java:109)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)

",com.amparosoft.modernrockfusion.lite/sources/n0/c.java
com.amparosoft.modernrockfusion.lite,java.lang.IllegalArgumentException,"java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{5d08c3 V.E...... R.....ID 0,0-840,727}[Download-HD] not attached to window manager","// CRASH: com.amparosoft.modernrockfusion.lite (pid 8867)
// Short Msg: java.lang.IllegalArgumentException
// Long Msg: java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{5d08c3 V.E...... R.....ID 0,0-840,727}[Download-HD] not attached to window manager
// java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{5d08c3 V.E...... R.....ID 0,0-840,727}[Download-HD] not attached to window manager
// 	at android.view.WindowManagerGlobal.findViewLocked(WindowManagerGlobal.java:587)
// 	at android.view.WindowManagerGlobal.removeView(WindowManagerGlobal.java:494)
// 	at android.view.WindowManagerImpl.removeViewImmediate(WindowManagerImpl.java:216)
// 	at android.app.Dialog.dismissDialog(Dialog.java:404)
// 	at android.app.Dialog.dismiss(Dialog.java:386)
// 	at androidx.appcompat.app.a0.dismiss(Unknown Source:0)
// 	at android.app.Dialog.cancel(Dialog.java:1357)
// 	at com.amparosoft.modernrockfusion.c.f(SourceFile:1)
// 	at com.amparosoft.modernrockfusion.c.onCancelled(Unknown Source:2)
// 	at android.os.AsyncTask.finish(AsyncTask.java:769)
// 	at android.os.AsyncTask.-$$Nest$mfinish(Unknown Source:0)
// 	at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:788)
// 	at android.os.Handler.dispatchMessage(Handler.java:109)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)

",com.amparosoft.modernrockfusion.lite/sources/n0/c.java
com.amparosoft.modernrockfusion.lite,java.lang.IllegalArgumentException,"java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{4e7816f V.E...... R.....ID 0,0-840,727 aid=1073741855}[Download-HD] not attached to window manager","// CRASH: com.amparosoft.modernrockfusion.lite (pid 5719)
// Short Msg: java.lang.IllegalArgumentException
// Long Msg: java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{4e7816f V.E...... R.....ID 0,0-840,727 aid=1073741855}[Download-HD] not attached to window manager
// java.lang.IllegalArgumentException: View=com.android.internal.policy.DecorView{4e7816f V.E...... R.....ID 0,0-840,727 aid=1073741855}[Download-HD] not attached to window manager
// 	at android.view.WindowManagerGlobal.findViewLocked(WindowManagerGlobal.java:587)
// 	at android.view.WindowManagerGlobal.removeView(WindowManagerGlobal.java:494)
// 	at android.view.WindowManagerImpl.removeViewImmediate(WindowManagerImpl.java:216)
// 	at android.app.Dialog.dismissDialog(Dialog.java:404)
// 	at android.app.Dialog.dismiss(Dialog.java:386)
// 	at androidx.appcompat.app.a0.dismiss(Unknown Source:0)
// 	at android.app.Dialog.cancel(Dialog.java:1357)
// 	at com.amparosoft.modernrockfusion.c.f(SourceFile:1)
// 	at com.amparosoft.modernrockfusion.c.onCancelled(Unknown Source:2)
// 	at android.os.AsyncTask.finish(AsyncTask.java:769)
// 	at android.os.AsyncTask.-$$Nest$mfinish(Unknown Source:0)
// 	at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:788)
// 	at android.os.Handler.dispatchMessage(Handler.java:109)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)

",com.amparosoft.modernrockfusion.lite/sources/y2/c.java
com.bce.carinphone.lite,java.lang.IllegalStateException,java.lang.IllegalStateException: Fragment ProgressDialog{791c53f} (a347030c-a37e-46ff-8a79-0c8e15a37c00) not associated with a fragment manager.,"// CRASH: com.bce.carinphone.lite (pid 5764)
// Short Msg: java.lang.IllegalStateException
// Long Msg: java.lang.IllegalStateException: Fragment ProgressDialog{791c53f} (a347030c-a37e-46ff-8a79-0c8e15a37c00) not associated with a fragment manager.
// java.lang.IllegalStateException: Fragment ProgressDialog{791c53f} (a347030c-a37e-46ff-8a79-0c8e15a37c00) not associated with a fragment manager.
// 	at androidx.fragment.app.Fragment.getParentFragmentManager(Fragment.java:1040)
// 	at androidx.fragment.app.DialogFragment.dismissInternal(DialogFragment.java:350)
// 	at androidx.fragment.app.DialogFragment.dismiss(DialogFragment.java:307)
// 	at com.bce.core.android.activity.LoginActivity.showProgressDialog(LoginActivity.java:266)
// 	at com.bce.core.android.activity.LoginActivity.login(LoginActivity.java:222)
// 	at com.bce.core.android.activity.LoginActivity.access$200(LoginActivity.java:48)
// 	at com.bce.core.android.activity.LoginActivity$3.onClick(LoginActivity.java:320)
// 	at android.view.View.performClick(View.java:8033)
// 	at android.view.View.performClickInternal(View.java:8010)
// 	at android.view.View.-$$Nest$mperformClickInternal(Unknown Source:0)
// 	at android.view.View$PerformClick.run(View.java:31336)
// 	at android.os.Handler.handleCallback(Handler.java:991)
// 	at android.os.Handler.dispatchMessage(Handler.java:102)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8787)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:871)

",com.bce.carinphone.lite/sources/com/bce/core/android/activity/LoginActivity.java
com.boboshi.ikorkortlite,java.lang.NullPointerException,java.lang.NullPointerException: Attempt to invoke virtual method 'void android.widget.ImageView.setImageResource(int)' on a null object reference,"// CRASH: com.boboshi.ikorkortlite (pid 7378)
// Short Msg: java.lang.NullPointerException
// Long Msg: java.lang.NullPointerException: Attempt to invoke virtual method 'void android.widget.ImageView.setImageResource(int)' on a null object reference
// java.lang.NullPointerException: Attempt to invoke virtual method 'void android.widget.ImageView.setImageResource(int)' on a null object reference
// 	at com.boboshi.ikorkortlite.quiz.QuizActivity$QuestionFragment.updateQuestionContentForLanguage(QuizActivity.java:1894)
// 	at com.boboshi.ikorkortlite.quiz.QuizActivity$5.onPageSelected(QuizActivity.java:764)
// 	at androidx.viewpager.widget.ViewPager.dispatchOnPageSelected(ViewPager.java:1941)
// 	at androidx.viewpager.widget.ViewPager.setCurrentItemInternal(ViewPager.java:665)
// 	at androidx.viewpager.widget.ViewPager.setCurrentItemInternal(ViewPager.java:631)
// 	at androidx.viewpager.widget.ViewPager.setCurrentItem(ViewPager.java:612)
// 	at com.boboshi.ikorkortlite.quiz.QuizActivity$6.run(QuizActivity.java:822)
// 	at android.os.Handler.handleCallback(Handler.java:991)
// 	at android.os.Handler.dispatchMessage(Handler.java:102)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)

",com.boboshi.ikorkortlite/sources/com/boboshi/ikorkortlite/quiz/QuizActivity.java
com.boboshi.ikorkortlite,android.view.WindowManager$BadTokenException,android.view.WindowManager$BadTokenException: Unable to add window -- token android.os.BinderProxy@20fa858 is not valid; is your activity running?,"// CRASH: com.boboshi.ikorkortlite (pid 15049)
// Short Msg: android.view.WindowManager$BadTokenException
// Long Msg: android.view.WindowManager$BadTokenException: Unable to add window -- token android.os.BinderProxy@20fa858 is not valid; is your activity running?
// android.view.WindowManager$BadTokenException: Unable to add window -- token android.os.BinderProxy@20fa858 is not valid; is your activity running?
// 	at android.view.ViewRootImpl.setView(ViewRootImpl.java:1668)
// 	at android.view.WindowManagerGlobal.addView(WindowManagerGlobal.java:454)
// 	at android.view.WindowManagerImpl.addView(WindowManagerImpl.java:158)
// 	at android.app.Dialog.show(Dialog.java:352)
// 	at com.boboshi.ikorkortlite.quiz.QuizResults.showMarkingTip(QuizResults.java:677)
// 	at com.boboshi.ikorkortlite.quiz.QuizResults.access$2900(QuizResults.java:82)
// 	at com.boboshi.ikorkortlite.quiz.QuizResults$7.onAnimationEnd(QuizResults.java:629)
// 	at android.view.ViewPropertyAnimator$AnimatorEventListener.onAnimationEnd(ViewPropertyAnimator.java:1115)
// 	at android.animation.Animator$AnimatorListener.onAnimationEnd(Animator.java:755)
// 	at android.animation.Animator$AnimatorCaller$$ExternalSyntheticLambda1.call(D8$$SyntheticClass:0)
// 	at android.animation.Animator.callOnList(Animator.java:713)
// 	at android.animation.Animator.notifyListeners(Animator.java:634)
// 	at android.animation.Animator.notifyEndListeners(Animator.java:659)
// 	at android.animation.Animator.completeEndAnimation(Animator.java:679)
// 	at android.animation.ValueAnimator.completeEndAnimation(ValueAnimator.java:1321)
// 	at android.animation.Animator.notifyEndListenersFromEndAnimation(Animator.java:668)
// 	at android.animation.ValueAnimator.endAnimation(ValueAnimator.java:1312)
// 	at android.animation.ValueAnimator.doAnimationFrame(ValueAnimator.java:1577)
// 	at android.animation.AnimationHandler.doAnimationFrame(AnimationHandler.java:396)
// 	at android.animation.AnimationHandler.-$$Nest$mdoAnimationFrame(Unknown Source:0)
// 	at android.animation.AnimationHandler$1.doFrame(AnimationHandler.java:106)
// 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1564)
// 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1575)
// 	at android.view.Choreographer.doCallbacks(Choreographer.java:1175)
// 	at android.view.Choreographer.doFrame(Choreographer.java:1100)
// 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:1549)
// 	at android.os.Handler.handleCallback(Handler.java:991)
// 	at android.os.Handler.dispatchMessage(Handler.java:102)
// 	at android.os.Looper.loopOnce(Looper.java:232)
// 	at android.os.Looper.loop(Looper.java:317)
// 	at android.app.ActivityThread.main(ActivityThread.java:8934)
// 	at java.lang.reflect.Method.invoke(Native Method)
// 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
// 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:911)

",com.boboshi.ikorkortlite/sources/com/boboshi/ikorkortlite/quiz/QuizResults.java
