lite_id,lite_name,full_id,full_name
com.micm.edusprintlite,Edusprint Lite,com.micm.edusprintplus,Edusprint+
com.telite.android,Tournament Edition Lite,com.te.android,Tournament Edition
com.intellijoy.kids.math.lite,Kids Kindergarten Math Lite,com.intellijoy.kids.math,Kids Kindergarten Math
com.bkav.smarthomelite,Bkav SmartHome Lite,com.bkav.smarthome.ariel,Bkav SmartHome
gamepadtesterlite.saturday.chimera.com.gamepadtesterlite,GamePad Tester Lite,com.chimera.saturday.evogamepadtester,Gamepad Tester
com.haku.lite,Haku Lite,com.haku.live,Haku
com.otek.ivyword2000schlite,常春藤基础英文词汇 2250 Lite,com.otek.ivyword4500tch,"常春藤核心英文字彙, 正體中文版"
com.deeplimitlite,DeepLimit Lite,com.app.gps.deeplimit,DeepLimit GPS
me.livlite.android,Liv Lite,me.livx.android,Liv X - Mobile Banking UAE
jp.co.projapan.solitairel,Solitaire Victory Lite,jp.co.projapan.solitaire,Solitaire Victory: 100+ Games
com.jilr.radio,Jesus Is LORD Radio Lite,com.rdoji.jesusislordradio,JESUS IS LORD RADIO REVAMPED
com.lite.connect,Rointe Lite,com.droiders.android.rointeconnect,Rointe Connect
com.tencent.qqlivei18n.lite,WeTV Lite,com.tencent.qqlivei18n.us,Tencent Video
nl.cmascience.lite,Coach 7 Lite,nl.cmascience.Coach7,Coach 7
com.elimmedia.hymn.pp.lite,미가엘 찬양 반주기 피아노 (새/통일 찬송가) LITE,com.elimmedia.hymn.ph,미가엘 찬양 반주기 ( 새찬송가/통일찬송가 )
de.esymetric.rungps_lite,RunGPS Trainer Lite,de.esymetric.rungps_uv_full,RunGPS Trainer Full
org.bibliawhite.lite,Bíblia White Lite,org.bibliawhite.app,Bíblia White
com.MegaBit.SubliminalLite,Subliminal Messages Lite,com.MegaBit.Subliminal,Subliminal Messages Pro
com.schimera.webdavnavlite,WebDAV Navigator Lite,com.schimera.webdavnav,WebDAV Navigator
com.s.cleaner,AVG Cleaner Lite,com.avg.cleaner,AVG Cleaner – Storage Cleaner
com.p_soft.biorhythms.lite,Biorhythms Calculator Lite,com.p_soft.biorhythms,Personal Biorhythms Calculator
net.xnano.android.changemymac.lite,Change My Mac Lite,net.xnano.android.changemymac,Change My MAC - Spoof Wifi MAC
com.tuneit.tuneitlite,Tune!It Lite,com.tuneit.tuneit,Tune!It
com.gyokovsolutions.rhythmengineerlite,Rhythm Engineer Lite,com.gyokovsolutions.rhythmengineer,Rhythm Engineer
in.mohalla.sharechatlite,ShareChat Lite,in.mohalla.sharechat,ShareChat Trends Videos & Live
com.karrostech.parentportallite.android,Edulog Parent Portal Lite,com.karrostech.parentportal.android.prod,Edulog Parent Portal
dk.mochasoft.tn3270lite,Mocha TN3270 Lite,dk.mochasoft.tn3270,Mocha TN3270
com.virtexedge.chaoticworkshoplite,The Chaotic Workshop - Lite,com.virtexedge.chaoticworkshop,The Chaotic Workshop
com.resetgame.tankace,Tank Ace 1944 Lite,com.resetgame.tankace1944,Tank Ace 1944
com.dosecureme,Protect Me Lite,com.doprotectme,Protect Me
com.ubercab.uberlite,Uber Lite,com.ubercab,Uber - Request a ride
raccorder.app.lite,RACCORDER LITE,raccorder.app,RACCORDER
com.zaful_lite,ZAFUL Lite,com.zaful,ZAFUL - My Fashion Story
com.fuzzyhouse.FuzzyHouseLite,Fuzzy House LITE,com.fuzzyhouse.FuzzyHousePremium,Fuzzy House Premium
com.frozenape.tempolite,Metronome: Tempo Lite,com.frozenape.tempo,Metronome: Tempo
com.itech.conecalculatorlite,Cone Calculator Lite,com.itech.conecalculator,cone calculator
com.matcotools.smartearlite,MATCO TOOLS - SmartEAR LITE,com.matcotools.smartearL1,MATCO TOOLS - SmartEAR1
com.intellijoy.drawwithshapes.lite,Kids Draw with Shapes Lite,com.intellijoy.drawwithshapes,Kids Draw with Shapes
fr.tokata.jimi.guitar.lite,Jimi Guitar Lite,fr.tokata.jimi.guitar,Jimi Guitar
com.Sarepta.MyChild,My Child Lebensborn LITE,com.Sarepta.MyChildLebensborn,My Child Lebensborn
masih.vahida.walkietalkielite,Online Walkie Talkie Lite,masih.vahida.serverwalkietalkie,Online Walkie Talkie Pro PTT
com.facebook.lite,Facebook Lite,com.facebook.katana,Facebook
pl.idreams.potterylite,Let's Create! Pottery Lite,pl.idreams.pottery,Let's Create! Pottery
com.spotify.lite,Spotify Lite,com.spotify.music,Spotify: Music and Podcasts
org.cryptors.hackunalite,Hackuna Lite,org.cryptors.hackuna002,Hackuna - (Anti-Hack)
com.globalsat.tracker_lite,GPS Home Tracker Lite,com.globalsat.trackerpro,GPShome Tracker
com.starlitprosecuritylite,Pro Security Lite,com.starlitprosecurity,Pro Security
me.bluemail.lite,BlueMail Lite,me.bluemail.mail,Email Blue Mail - Calendar
com.live.honeylite,Honey Jar Lite,com.live.honey,Honey Jar - Voice Chat & Party
com.hobbyistsoftware.android.vlcremote_usfree,VLC Remote Lite,com.hobbyistsoftware.android.vlcremote_us,VLC Remote
com.quantum.softwareupdate.updateallapps.updatephone.phoneupdate,Update Software Latest Lite,app.quantum.supdate,Update Software Latest
com.realtechvr.brotherhood.lite,Brotherhood of Violence Ⅱ Lite,com.realtechvr.brotherhood,Brotherhood of Violence Ⅱ
com.obsidium.monkeymotelite,MonkeyMote Music Remote Lite,com.obsidium.monkeymote,MonkeyMote Music Remote
com.imense.imenseANPRlite,ANPReader Lite,com.imense.imenseANPRfull,ANPReader (full version)
com.braksoftware.HumanJapaneseIntermediateLite,Human Japanese Int. Lite,com.braksoftware.HumanJapaneseLite,Human Japanese Lite
de.indiworx.astroworxlite,AstroWorx Astrology LITE,de.indiworx.astroworx,Horoscopes Astrology AstroWorx
com.androidvilla.addwatermark.free,Add Watermark Lite,com.androidvilla.addwatermark,Add Watermark
com.acsoftware.accentlite,Accent Network Lite,com.acsoftware.accentpro,Accent Network
com.blinigames.lus_lite,Lovecrafts Untold Stories LITE,com.blinigames.lus,Lovecraft's Untold Stories
com.rhythm.hexise.safe.lite,Password Safe Lite,com.rhythm.hexise.safe,Password Safe
com.johnemulators.johngbalite,John GBA Lite,com.johnemulators.johngba,John GBA
com.vietydao.en.dienchanbqclite,Diện Chẩn EN Lite,com.vietydao.lite.dienchanbqc,Diện Chẩn BQC Lite
com.gmail.anolivetree.imageshrinklite,Image Shrink Lite,com.gmail.anolivetree,Image Shrink—Batch resize
com.ScanMyOpelLite.Main,ScanMyOpel Lite,com.ScanMyOpel.Main,ScanMyOpel
com.giraone.secretsafelite,Secret Safe Lite,com.giraone.secretsafefull,Secret Safe Password Manager
com.ppgps.lite,PPGpS Lite,com.ppgps.full,PPGpS
net.vostic.android,Lemo Lite,com.vostic.android,Lemo - Chill & Chat
pl.pw.btool.lite,bimmer-tool Lite,pl.pw.btool.expert,bimmer-tool
com.bigbluepixel.photomeasures.lite,Photo Measures Lite,com.bigbluepixel.photomeasures,Photo Measures
com.securityconceptsliteclient.android,Security Concepts Lite,com.secuirtyconceptspty.security_concepts,Security Concepts
com.proximabeta.mf.liteuamo,Arena Breakout Lite,com.proximabeta.mf.uamo,Arena Breakout: Realistic FPS
com.designsoftcr.tallerbikelite,Taller Bike Lite,com.designsoftcr.tallerbike,Taller Bike
com.dawn.mobile.brpo5aelite,BPRO5 AE Lite,com.dawnwin.OD186Cam,Brica BPRO5 AE3[S]
bd.com.robi.robilite,My Robi Lite,net.omobio.robisc,"My Robi - Offers, Usage, More"
com.amgtime.lite,AMGtime Lite,com.amgtime,AMGtime
com.wxtrends.wt360lite,wt360 Lite,com.ims.wt360weather,wt360 Pro
com.astragon.cs3lite,Construction Simulator 3 Lite,com.astragon.cs3,Construction Simulator 3
com.dingogames.tastyplanet1lite,Tasty Planet Lite,com.dingogames.tastyplanet4,Tasty Planet Forever
com.penpower.worldictionaryLite,Worldictionary Lite,com.penpower.worldictionary,Worldictionary
org.GodFootSteps.CAGLite,CAG Lite,org.godfootsteps.thechurchofalmightygod,The Church of Almighty God
com.mds.risikolite,MDS Risik Lite,com.mds.risiko,MDS Risik
com.cemex.attendance.lite,Cemex HRM Lite,com.cemexhrm.mobile,Cemex HRM
com.enthusiasticcoder.adsbflightmonitorlite,ADSB Flight Tracker Lite,com.enthusiasticcoder.adsbflightmonitor,ADSB Flight Tracker
com.nissandatascan.ndsiilite,NDSII Lite,com.nissandatascan.ndsii,NDSII
com.ntww.egatelite,eGate lite,com.ntww.ntsurveyapp,eGate
nl.homewizard.android.lite.plus,HomeWizard Lite,nl.homewizard.android.energy,HomeWizard Energy
com.code3apps.FireFighterLite,FireFighter Pocketbook Lite,com.code3apps.FireFighter,Firefighter Pocketbook
com.designsoftcr.talleralphalite,Taller Alpha Lite,com.designsoftcr.talleralpha,TallerAlpha
com.gyokovsolutions.multitrackengineerlite,Multitrack Engineer Lite,com.gyokovsolutions.multitrackengineer,Multitrack Engineer
